""	"PARTID"	"order"	"item"	"CODE"	"...5"	"...6"	"...7"	"...8"	"...9"	"...10"	"...11"	"...12"	"...13"	"...14"	"...15"	"...16"
"1"	"acgn001"	1	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"acgn001"	2	"Gudstjeneste"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"acgn001"	3	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	"acgn001"	4	"Ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	"acgn001"	5	"Salmer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	"acgn002"	1	"At Bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"acgn002"	2	"Nadver"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"acgn002"	3	"Slå korsets tegn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"acgn002"	4	"Missionering"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"whut"
"10"	"acgn002"	5	"Meditation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"acgn003"	1	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	"acgn003"	2	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	"acgn003"	3	"terapi/tryghed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	"acgn003"	4	"tradition"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	"acgn003"	5	"\"træde ind i de voksnes rækker\""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	"acgn004"	1	"kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"acgn004"	2	"bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"acgn004"	3	"selvindsigt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	"acgn004"	4	"forbundethed"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"acgn004"	5	"gud"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"acgn005"	1	"krig"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	"acgn005"	2	"sammenhold"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"acgn005"	3	"fællesskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	"acgn005"	4	"tro"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"acgn005"	5	"flotte bygninger"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"26"	"acgn006"	1	"At bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"acgn006"	2	"Bordbøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
