""	"PARTID"	"order"	"item"	"CODE"
"1"	"msc002"	1	"Tro"	"tro"
"2"	"KK001"	5	"?"	NA
"3"	"KK002"	5	"??"	NA
"4"	"KK002"	4	"\"Kan ikke læses\""	NA
"5"	"lhj002"	1	"abstrakt"	"abstrakt"
"6"	"lhj010"	1	"abstrakt"	"abstrakt"
"7"	"KK001"	3	"Accept"	"accept"
"8"	"acgn010"	1	"allah"	"allah"
"9"	"lhj009"	5	"allestedsnærværende"	"allestedsnærværende"
"10"	"LM017"	5	"Almaegtig"	"almægtig"
"11"	"msc008"	3	"Almægtig"	"almægtig"
"12"	"msc010"	1	"Almægtig"	"almægtig"
"13"	"lhj003"	2	"almægtig"	"almægtig"
"14"	"lhj009"	1	"almægtig"	"almægtig"
"15"	"naj011"	1	"Almægtig"	"almægtig"
"16"	"acgn005"	3	"almægtig"	"almægtig"
"17"	"acgn010"	2	"almægtig"	"almægtig"
"18"	"acgn011"	1	"almægtig"	"almægtig"
"19"	"mho007"	1	"almægtighed"	"almægtig"
"20"	"acgn008"	2	"almægtighed"	"almægtig"
"21"	"acgn002"	5	"almagt"	"almægtig"
"22"	"LM012"	1	"Alt"	"alt"
"23"	"msc007"	4	"Altoverskyggende hellighed"	"hellighed"
"24"	"LM002"	3	"Altvidende"	"alvidende"
"25"	"naj016"	2	"Alvidende"	"alvidende"
"26"	"acgn004"	5	"ambivalent"	"ambivalent"
"27"	"mho006"	2	"ånd"	"ånd"
"28"	"naj001"	4	"Ånd"	"ånd"
"29"	"KK006"	4	"Anden del"	NA
"30"	"KK011"	4	"Ansvarsfralæggelse"	"ansvarsfralæggelse"
"31"	"lhj001"	4	"ansvarsfralæggelse (på godt og ondt)"	"ansvarsfralæggelse"
"32"	"acgn002"	3	"arbejde"	"arbejde"
"33"	"LM001"	5	"At bede"	"bøn"
"34"	"LM014"	2	"At bede"	"bøn"
"35"	"LM009"	3	"At blive doebt"	"dåb"
"36"	"LM009"	4	"At blive gift"	"ægteskab"
"37"	"LM014"	3	"At gaa i kirke"	"kirkegang"
"38"	"LM014"	4	"At tro på Gud/Jesus"	"tro"
"39"	"mho003"	3	"at være bedre"	"at være bedre"
"40"	"LM014"	1	"At vaere god mod andre"	"god mod andre"
"41"	"LM009"	2	"At være kristen"	"kristendom"
"42"	"acgn001"	1	"Autoritet"	"autoritet"
"43"	"msr002"	4	"autoritetstro"	"autoritetstro"
"44"	"acgn004"	4	"barndom"	"barndom"
"45"	"naj012"	3	"Begravelse"	"begravelse"
"46"	"msc004"	3	"Betlehem"	"Betlehem"
"47"	"KK007"	5	"Betlehem"	"Betlehem"
"48"	"lhj003"	3	"bibel"	"bibelen"
"49"	"acgn008"	5	"bibel"	"bibelen"
"50"	"naj001"	2	"Bibelen"	"bibelen"
"51"	"naj006"	1	"Bibelen"	"bibelen"
"52"	"naj008"	5	"Bibelen"	"bibelen"
"53"	"LM016"	3	"Biblen"	"bibelen"
"54"	"KK009"	4	"Biblen"	"bibelen"
"55"	"KK013"	2	"Biblen"	"bibelen"
"56"	"naj008"	3	"Blasfemi"	"blasfemi"
"57"	"naj014"	5	"Bøn"	"bøn"
"58"	"naj015"	4	"Bøn"	"bøn"
"59"	"acgn011"	4	"bøn"	"bøn"
"60"	"LM008"	4	"Daab"	"dåb"
"61"	"KK003"	4	"Dåb"	"dåb"
"62"	"KK004"	2	"Dåb"	"dåb"
"63"	"msr001"	5	"debat"	"debat"
"64"	"LM012"	2	"Det der er imellem os"	"Det der er imellem os"
"65"	"naj007"	2	"Det gamle testamente"	"det gamle testamente"
"66"	"mho007"	3	"det rigtige og forkerte"	"godt og ondt"
"67"	"LM002"	2	"Determinisme"	"determinisme"
"68"	"KK010"	4	"Død"	"død"
"69"	"msr006"	2	"doed"	"død"
"70"	"LM002"	5	"Doemmende"	"dømmende"
"71"	"msr004"	3	"doemmende"	"dømmende"
"72"	"acgn003"	1	"dominans"	"dominans"
"73"	"acgn004"	3	"dømmende"	"dømmende"
"74"	"msr010"	2	"dommer"	"dømmende"
"75"	"acgn003"	5	"ejerskabstagning"	"tage ejerskab"
"76"	"msr007"	3	"en form for oneness - forbundethed"	"forbundethed"
"77"	"msr006"	4	"en frelser"	"frelser"
"78"	"LM004"	4	"En god historie"	"god historie"
"79"	"acgn007"	4	"en guide i livet"	"livsguide"
"80"	"acgn004"	1	"en hjælpende hånd"	"hjælp"
"81"	"LM006"	4	"En man taenker på, hvis man er ked af det"	"støtte"
"82"	"msr006"	1	"en person der straffer folk"	"straffende person"
"83"	"acgn004"	2	"en person, jeg har et svært forhold til"	"en person, jeg har et svært forhold til"
"84"	"KK006"	2	"En tro"	"tro"
"85"	"mho005"	1	"en udefra kommende kraft"	"kraft"
"86"	"msc005"	1	"Energi"	"energi"
"87"	"lhj005"	5	"energi"	"energi"
"88"	"KK005"	4	"Er mit liv meningsfuldt"	"meningsfuldt liv"
"89"	"KK006"	5	"Et religiøst mål"	"religiøse mål"
"90"	"acgn006"	3	"evig"	"evig"
"91"	"LM016"	1	"Fadervor"	"fadervor"
"92"	"lhj003"	1	"fadervor"	"fadervor"
"93"	"acgn001"	3	"Fælles samlingspunkt"	"fællesskab"
"94"	"msr003"	3	"faellesskab"	"fællesskab"
"95"	"msr007"	2	"faellesskab"	"fællesskab"
"96"	"mho004"	2	"fællesskab"	"fællesskab"
"97"	"LM011"	5	"Far"	"far"
"98"	"msc008"	1	"Far!"	"far"
"99"	"msr010"	1	"fare"	"fare"
"100"	"LM008"	2	"FDF"	"fdf"
"101"	"naj012"	2	"FDF"	"fdf"
"102"	"LM018"	5	"Fertilitet"	"fertilitet"
"103"	"lhj001"	2	"fiktion"	"fiktion"
"104"	"acgn007"	5	"filosofi"	"filosofi"
"105"	"msr005"	1	"flydende"	"flydende"
"106"	"LM004"	5	"For mange er det en man giver skylden, naar det gaar galt"	"ansvarsfralæggelse"
"107"	"msr002"	2	"foraeldede koensroller"	"forældede kønsroller"
"108"	"naj004"	1	"Fordybelse"	"fordybelse"
"109"	"acgn001"	2	"forestilling"	"forestilling"
"110"	"msr005"	5	"forhistorie"	"forhistorie"
"111"	"msr005"	3	"forskellighed"	"forskellighed"
"112"	"KK006"	3	"Første del - Noget overordnet"	"overordnet"
"113"	"KK011"	2	"Forstokket tankegang"	"forstokket"
"114"	"LM015"	5	"Fred"	"fred"
"115"	"msr003"	5	"frelse"	"frelse"
"116"	"acgn008"	4	"frelser"	"frelser"
"117"	"LM020"	1	"Fremmedhed"	"fremmed"
"118"	"LM002"	4	"Frygt"	"frygt"
"119"	"lhj004"	4	"frygt"	"frygt"
"120"	"KK005"	3	"Frygt for det ukendte"	"frygt"
"121"	"KK012"	4	"Gamle mænd"	"gamle mænd"
"122"	"KK012"	1	"Gamle mennesker"	"gamle mennesker"
"123"	"msr011"	1	"gammel hvid mand med langt hvidt skaeg"	"gammel mand"
"124"	"KK013"	3	"Gammel mand"	"gammel mand"
"125"	"msr008"	3	"gammel mand"	"gammel mand"
"126"	"LM004"	2	"Gammel tro"	"gammel tro"
"127"	"msc005"	3	"Glæde"	"glæde"
"128"	"LM013"	3	"God"	"godhed"
"129"	"mho005"	2	"godhed"	"godhed"
"130"	"LM020"	3	"Godhed"	"godhed"
"131"	"LM010"	1	"Gud"	"gud"
"132"	"msr008"	1	"gud"	"gud"
"133"	"msc001"	1	"Guddommelig"	"guddommelig"
"134"	"LM016"	4	"Gudstjeneste"	"gudstjeneste"
"135"	"lhj007"	4	"gudstjeneste"	"gudstjeneste"
"136"	"acgn005"	4	"gudstjeneste"	"gudstjeneste"
"137"	"lhj004"	5	"håb"	"håb"
"138"	"naj008"	2	"Håb"	"håb"
"139"	"naj009"	2	"Håb"	"håb"
"140"	"naj014"	3	"Håb"	"håb"
"141"	"acgn009"	4	"håb"	"håb"
"142"	"msc007"	2	"Håb"	"håb"
"143"	"LM005"	4	"Han er en dum skid"	"en dum skid"
"144"	"LM005"	3	"Han er ikke retfaerdig"	"uretfærdig"
"145"	"LM013"	5	"Helligaand"	"helligånd"
"146"	"acgn010"	4	"helligånd"	"helligånd"
"147"	"LM013"	1	"Hellige"	"hellig"
"148"	"msc010"	2	"Helligt"	"hellig"
"149"	"acgn010"	5	"herre"	"herre"
"150"	"msc001"	3	"Herren"	"herre"
"151"	"naj011"	5	"Hersker"	"hersker"
"152"	"mho007"	5	"himlen"	"himlen"
"153"	"KK009"	3	"Himlen"	"himlen"
"154"	"KK014"	2	"Himlen"	"himlen"
"155"	"KK008"	5	"Himmel"	"himlen"
"156"	"msr011"	2	"himmelen"	"himlen"
"157"	"msr005"	4	"historie"	"historie"
"158"	"lhj004"	3	"hjælp"	"hjælp"
"159"	"KK010"	1	"Højere enhed"	"højere enhed"
"160"	"lhj007"	1	"højmesse"	"højmesse"
"161"	"msc003"	5	"Højtider"	"højtider"
"162"	"lhj006"	5	"højtider"	"højtider"
"163"	"naj003"	5	"Højtider"	"højtider"
"164"	"lhj005"	2	"holdninger"	"holdninger"
"165"	"msr011"	3	"holy wind - noget lidt guld-agtigt, naermest en brise af guld"	"brise af guld"
"166"	"naj007"	3	"Hvidt skæg"	"hvidt skæg"
"167"	"msr010"	3	"ideal"	"ideal"
"168"	"msr005"	2	"ikke biologisk, da det er transcendent"	"transcendent"
"169"	"KK002"	3	"Ikke meget jeg bruger"	"Ikke meget jeg bruger"
"170"	"mho001"	3	"ikke verificerbar"	"ikke verificerbar"
"171"	"lhj002"	2	"ikke-fysisk"	"ikke-fysisk"
"172"	"LM018"	2	"Ild"	"ild"
"173"	"msc003"	2	"Inddoktrinering"	"inddoktrinering"
"174"	"KK005"	1	"Ingenting"	"ingenting"
"175"	"msc006"	1	"Ingenting"	"ingenting"
"176"	"lhj010"	3	"inspiration"	"inspiration"
"177"	"LM010"	3	"Islam"	"islam"
"178"	"LM011"	2	"Jesus"	"jesus"
"179"	"LM013"	4	"Jesus"	"jesus"
"180"	"naj001"	3	"Jesus"	"jesus"
"181"	"naj010"	4	"Jesus"	"jesus"
"182"	"acgn010"	3	"jesus"	"jesus"
"183"	"acgn011"	5	"jesus"	"jesus"
"184"	"KK002"	2	"Jesus"	"jesus"
"185"	"msr008"	4	"jesus"	"jesus"
"186"	"msc001"	4	"Jesus"	"jesus"
"187"	"msc004"	2	"Jesus"	"jesus"
"188"	"msc010"	5	"Jesus"	"jesus"
"189"	"naj007"	5	"Jesus far"	"jesu far"
"190"	"lhj003"	5	"jesus' far"	"jesu far"
"191"	"LM010"	4	"Joededom"	"jødedom"
"192"	"naj003"	1	"Jul"	"jul"
"193"	"naj012"	4	"Jul"	"jul"
"194"	"naj015"	3	"Jul"	"jul"
"195"	"msc004"	4	"Juleevangeliet"	"juleevangeliet"
"196"	"msc008"	2	"Kærlig"	"kærlighed"
"197"	"naj011"	4	"Kærlig"	"kærlighed"
"198"	"LM001"	3	"Kaerlighed"	"kærlighed"
"199"	"LM015"	1	"Kaerlighed"	"kærlighed"
"200"	"LM019"	3	"Kaerlighed"	"kærlighed"
"201"	"LM020"	5	"Kaerlighed"	"kærlighed"
"202"	"msr007"	1	"kaerlighed"	"kærlighed"
"203"	"msr009"	4	"kaerlighed"	"kærlighed"
"204"	"mho004"	1	"kærlighed"	"kærlighed"
"205"	"mho006"	1	"kærlighed"	"kærlighed"
"206"	"msc005"	2	"Kærlighed"	"kærlighed"
"207"	"msc007"	3	"Kærlighed"	"kærlighed"
"208"	"naj009"	3	"Kærlighed"	"kærlighed"
"209"	"naj013"	4	"Kærlighed"	"kærlighed"
"210"	"acgn008"	3	"kærlighed"	"kærlighed"
"211"	"acgn011"	2	"kærlighed"	"kærlighed"
"212"	"LM013"	2	"Kaerligt"	"kærlighed"
"213"	"LM004"	3	"Kan dele mennesker i to"	"Kan dele mennesker i to"
"214"	"msc003"	4	"Kan føre til had"	"Kan føre til had"
"215"	"KK004"	4	"Kedelig"	"kedelig"
"216"	"LM003"	2	"Kirke"	"kirke"
"217"	"LM004"	1	"Kirke"	"kirke"
"218"	"LM012"	5	"Kirke"	"kirke"
"219"	"msc002"	3	"Kirke"	"kirke"
"220"	"naj001"	5	"Kirke"	"kirke"
"221"	"naj002"	2	"Kirke"	"kirke"
"222"	"naj012"	1	"Kirke"	"kirke"
"223"	"naj015"	2	"Kirke"	"kirke"
"224"	"acgn002"	1	"Kirke"	"kirke"
"225"	"KK002"	1	"Kirke"	"kirke"
"226"	"KK003"	1	"Kirke"	"kirke"
"227"	"KK004"	1	"Kirke"	"kirke"
"228"	"KK007"	3	"Kirke"	"kirke"
"229"	"KK008"	3	"Kirke"	"kirke"
"230"	"KK009"	1	"Kirke"	"kirke"
"231"	"KK010"	3	"Kirke"	"kirke"
"232"	"msr003"	2	"kirke"	"kirke"
"233"	"msr008"	5	"kirke/menighed"	"kirke"
"234"	"naj004"	3	"Kirkegang"	"kirkegang"
"235"	"KK012"	3	"Kirkekor"	"kirkekor"
"236"	"LM006"	2	"Kirkelige handlinger"	"kirkelige handlinger"
"237"	"LM001"	1	"Kirken"	"kirke"
"238"	"LM008"	1	"Kirken"	"kirke"
"239"	"msc007"	5	"kirken"	"kirke"
"240"	"KK013"	1	"Kirken"	"kirke"
"241"	"msr006"	5	"kirken"	"kirke"
"242"	"lhj008"	3	"kirker"	"kirke"
"243"	"KK012"	2	"Kirker"	"kirke"
"244"	"LM008"	3	"Konfirmation"	"konfirmation"
"245"	"naj006"	2	"Koranen"	"koranen"
"246"	"LM001"	2	"Kors"	"kors"
"247"	"naj003"	3	"Kors"	"kors"
"248"	"naj010"	2	"Kors"	"kors"
"249"	"KK010"	2	"Kors"	"kors"
"250"	"LM017"	3	"Kraft"	"kraft"
"251"	"lhj006"	2	"krig"	"krig"
"252"	"msr006"	3	"krig"	"krig"
"253"	"msr011"	5	"krig"	"krig"
"254"	"LM006"	1	"Kristendom"	"kristendom"
"255"	"LM010"	5	"Kristendom"	"kristendom"
"256"	"lhj008"	1	"kristendom"	"kristendom"
"257"	"KK003"	3	"Kristendom"	"kristendom"
"258"	"KK006"	6	"Kristendom"	"kristendom"
"259"	"KK008"	2	"Kristendom"	"kristendom"
"260"	"msr004"	5	"kristendom"	"kristendom"
"261"	"msr008"	2	"kristendom"	"kristendom"
"262"	"msc001"	5	"Kristus"	"kristus"
"263"	"naj002"	4	"Kultur"	"kultur"
"264"	"acgn002"	4	"kultur"	"kultur"
"265"	"naj002"	5	"Læreord"	"læreord"
"266"	"naj013"	3	"Levevej"	"levevej"
"267"	"naj001"	1	"Ligegyldighed"	"ligegyldighed"
"268"	"acgn007"	2	"livsholdning"	"livsholdning"
"269"	"mho006"	4	"livskilde"	"livskilde"
"270"	"LM011"	1	"Lys"	"lys"
"271"	"msc010"	4	"Lys"	"lys"
"272"	"msr001"	1	"maegtig"	"magt"
"273"	"lhj002"	5	"mægtig, men ikke almægtig måske?"	"magt"
"274"	"LM003"	5	"Magt"	"magt"
