""	"PARTID"	"order"	"item"	"CODE"
"1"	"acgn001"	1	"Ikke så meget positivt for mig"	NA
"2"	"acgn001"	2	"Styring af mennesker"	NA
"3"	"acgn001"	3	"Ingen kritisk tænkning"	NA
"4"	"acgn001"	4	"Også godt for de, der vælger det"	NA
"5"	"acgn001"	5	"Fortidig"	NA
"6"	"acgn002"	1	"Arbejde"	NA
"7"	"acgn002"	2	"Salmer"	NA
"8"	"acgn002"	3	"Organist"	NA
"9"	"acgn002"	4	"kulturkristen"	NA
"10"	"acgn002"	5	"menighedsråd"	NA
"11"	"acgn003"	1	"gammeldags"	NA
"12"	"acgn003"	2	"omstillingsparat"	NA
"13"	"acgn003"	3	"særbehandling"	NA
"14"	"acgn003"	4	"højtidelig"	NA
"15"	"acgn003"	5	"tourisme"	NA
"16"	"acgn004"	1	"institution"	NA
"17"	"acgn004"	2	"smuk"	NA
"18"	"acgn004"	3	"rolig"	NA
"19"	"acgn004"	4	"sammenhold"	NA
"20"	"acgn004"	5	"sang"	NA
"21"	"acgn005"	1	"jul"	NA
"22"	"acgn005"	2	"konfirmation"	NA
"23"	"acgn005"	3	"påske"	NA
"24"	"acgn005"	4	"bryllup"	NA
"25"	"acgn005"	5	"gammelt"	NA
"26"	"acgn006"	1	"åben for alle"	NA
"27"	"acgn006"	2	"tro"	NA
"28"	"acgn006"	3	"stolt"	NA
"29"	"acgn006"	4	"gammelt"	NA
"30"	"acgn006"	5	"sammehold"	NA
"31"	"acgn007"	1	"kristen institution"	NA
"32"	"acgn007"	2	"forældet /  gammel"	NA
"33"	"acgn007"	3	"ikke nok inkluderende"	NA
"34"	"acgn007"	4	"mangler dialog, oplysning til folket"	NA
"35"	"acgn007"	5	"nødvendig,"	NA
"36"	"acgn007"	6	"men bør nytænkes"	NA
"37"	"acgn008"	1	"Tro"	NA
"38"	"acgn008"	2	"treenighed"	NA
"39"	"acgn008"	3	"fællesskab"	NA
"40"	"acgn008"	4	"danmark"	NA
"41"	"acgn008"	5	"opdragelse"	NA
"42"	"acgn009"	1	"kultur"	NA
"43"	"acgn009"	2	"samfund"	NA
"44"	"acgn009"	3	"kristendom"	NA
"45"	"acgn009"	4	"konformitet"	NA
"46"	"acgn009"	5	"jul"	NA
"47"	"acgn009"	6	"tradition"	NA
"48"	"acgn010"	1	"skat"	NA
"49"	"acgn010"	2	"kongehuset"	NA
"50"	"acgn010"	3	"præst"	NA
"51"	"acgn010"	4	"DK"	NA
"52"	"acgn010"	5	"Jesus"	NA
"53"	"acgn011"	1	"kedelig"	NA
"54"	"acgn011"	2	"juleaften"	NA
"55"	"acgn011"	3	"for alle"	NA
"56"	"acgn011"	4	"og måske for ingen"	NA
"57"	"acgn011"	5	"tomme kirker"	NA
"58"	"acgn011"	6	"salmer"	NA
"59"	"KK001"	1	"Samhørighed"	NA
"60"	"KK001"	2	"Åben for alle"	NA
"61"	"KK001"	3	"Traditioner"	NA
"62"	"KK001"	4	"Ro"	NA
"63"	"KK001"	5	"Helligt sted"	NA
"64"	"KK002"	1	"Et samlingspunkt for mange"	NA
"65"	"KK002"	2	"Holde bryllupper"	NA
"66"	"KK002"	3	"Noget, som jeg betaler til men ikke bruger"	NA
"67"	"KK002"	4	"Røde mursten"	NA
"68"	"KK002"	5	"\"Kan ikke læses\""	NA
"69"	"KK003"	1	"Gammeldags institution"	NA
"70"	"KK003"	2	"Traditioner"	NA
"71"	"KK003"	3	"Dåb"	NA
"72"	"KK003"	4	"Konfirmation"	NA
"73"	"KK003"	5	"Bryllup"	NA
"74"	"KK004"	1	"Høj Kirkemusik - Første del"	NA
"75"	"KK004"	2	"Orgel - Anden del"	NA
"76"	"KK004"	3	"Hvide kjoler - Første del"	NA
"77"	"KK004"	4	"Hvide jakkesæt - Anden del"	NA
"78"	"KK004"	5	"Dåb"	NA
"79"	"KK004"	6	"Hårde bænke"	NA
"80"	"KK004"	7	"Sang"	NA
"81"	"KK005"	1	"Burde frigøres fra staten"	NA
"82"	"KK005"	2	"Jeg er medlem fordi begge mine hustruer ønsker det"	NA
"83"	"KK005"	3	"Har ikke rigtigt noget forhold til den"	NA
"84"	"KK005"	4	"Kommer i kirke meget sjældent"	NA
"85"	"KK005"	5	NA	NA
"86"	"KK006"	1	"Et sted, hvor medlemmerne mødes"	NA
"87"	"KK006"	2	"Et sted, hvor religiøse handlinger gennemføres"	NA
"88"	"KK006"	3	"Et sted, der giver klarhed"	NA
"89"	"KK006"	4	"Gamle sten - Første del"	NA
"90"	"KK006"	5	"Gamle bygninger - Anden del"	NA
"91"	"KK006"	6	"Menighedsråd"	NA
"92"	"KK007"	1	"Dåb"	NA
"93"	"KK007"	2	"Bryllup"	NA
"94"	"KK007"	3	"Jul"	NA
"95"	"KK007"	4	"Begravelse"	NA
"96"	"KK007"	5	"Penge"	NA
"97"	"KK008"	1	"Jul"	NA
"98"	"KK008"	2	"Præster"	NA
"99"	"KK008"	3	"Bryllup"	NA
"100"	"KK008"	4	"Konfirmation"	NA
"101"	"KK008"	5	"Kultur"	NA
"102"	"KK009"	1	"Kirke"	NA
"103"	"KK009"	2	"Bryllup"	NA
"104"	"KK009"	3	"Dåb"	NA
"105"	"KK009"	4	"Konfirmation"	NA
"106"	"KK009"	5	"Begravelse"	NA
"107"	"KK010"	1	"Vielse"	NA
"108"	"KK010"	2	"Tradition"	NA
"109"	"KK010"	3	"Jul"	NA
"110"	"KK010"	4	"Flage"	NA
"111"	"KK010"	5	"Samfund"	NA
"112"	"KK011"	1	"Religion"	NA
"113"	"KK011"	2	"Institution - Første del"	NA
"114"	"KK011"	3	"kan støtte ved væsentlige livsbegivenheder - Anden del"	NA
"115"	"KK011"	4	"Har ritualer - Tredje del"	NA
"116"	"KK011"	5	"Dødsfald - Fjerde del"	NA
"117"	"KK011"	6	"Støv"	NA
"118"	"KK011"	7	"Historie"	NA
"119"	"KK011"	8	"Kultur"	NA
"120"	"KK012"	1	"Kultur"	NA
"121"	"KK012"	2	"Begravelser"	NA
"122"	"KK012"	3	"Skat"	NA
"123"	"KK012"	4	"Præster"	NA
"124"	"KK012"	5	"Musik"	NA
"125"	"KK013"	1	"Tradition"	NA
"126"	"KK013"	2	"Barnedåb"	NA
"127"	"KK013"	3	"Kirker"	NA
"128"	"KK013"	4	"Præster"	NA
"129"	"KK013"	5	"Sorte præstekjoler"	NA
"130"	"KK014"	1	"Bryllup"	NA
"131"	"KK014"	2	"Dåb"	NA
"132"	"KK014"	3	"Begravelser"	NA
"133"	"KK014"	4	"Sammenhold"	NA
"134"	"KK014"	5	"Hvid"	NA
"135"	"lhj001"	1	"spild af skattepenge"	NA
"136"	"lhj001"	2	"gammeldags"	NA
"137"	"lhj001"	3	"ubetydeligt i nutiden"	NA
"138"	"lhj001"	4	NA	NA
"139"	"lhj001"	5	NA	NA
