""	"PARTID"	"order"	"item"	"clean"
"1"	"KK002"	2	"\"Kan ikke læses\""	NA
"2"	"msc007"	2	"1. mosebog"	NA
"3"	"KK006"	2	"10 bud"	NA
"4"	"KK006"	1	"Accept af at Jesus har levet"	NA
"5"	"msc007"	5	"Aflad"	NA
"6"	"lhj006"	2	"afslappethed"	NA
"7"	"LM013"	4	"Almisse"	NA
"8"	"msr007"	4	"ambivalent"	NA
"9"	"KK009"	3	"Anden del: Eva"	NA
"10"	"KK006"	5	"Anden del: Smuk kunst"	NA
"11"	"msc004"	3	"Andre religioner"	NA
"12"	"LM014"	5	"At forberede sig til det gode"	NA
"13"	"LM014"	3	"At hjaelpe andre"	NA
"14"	"KK005"	1	"At prædke kærlighed, men glemme at udøve det"	NA
"15"	"LM014"	4	"At vaere aerlig"	NA
"16"	"LM014"	1	"At vaere gode mod andre"	NA
"17"	"LM009"	4	"At vaere kristen"	NA
"18"	"LM014"	2	"At vaere taknemmelig"	NA
"19"	"KK006"	6	"At være lutheraner"	NA
"20"	"acgn004"	2	"barndom"	NA
"21"	"msr006"	5	"begravelse"	NA
"22"	"lhj005"	1	"begrænset tro"	NA
"23"	"naj003"	1	"Bibel"	NA
"24"	"naj001"	1	"Bibelen"	NA
"25"	"naj002"	2	"Bibelen"	NA
"26"	"naj015"	4	"Bibelen"	NA
"27"	"msr002"	2	"bibelen"	NA
"28"	"msr004"	1	"bibelen"	NA
"29"	"lhj010"	3	"bibelfortællinger"	NA
"30"	"KK003"	5	"Biblen"	NA
"31"	"KK007"	1	"Biblen"	NA
"32"	"KK010"	5	"Biblen"	NA
"33"	"acgn009"	5	"biblen"	NA
"34"	"lhj003"	1	"biblen"	NA
"35"	"lhj009"	2	"biblen"	NA
"36"	"LM009"	2	"Biblen"	NA
"37"	"msc009"	5	"Biblen"	NA
"38"	"LM016"	5	"Boeger"	NA
"39"	"acgn006"	5	"bordbøn"	NA
"40"	"naj004"	3	"Brug af kirker"	NA
"41"	"KK009"	4	"Bryllup"	NA
"42"	"KK004"	4	"Bøn"	NA
"43"	"naj001"	3	"Bøn"	NA
"44"	"naj015"	5	"Bøn"	NA
"45"	"naj016"	5	"Bøn"	NA
"46"	"lhj010"	5	"bøn"	NA
