""	"PARTID"	"order"	"item"	"CODE"
"1"	"naj001"	4	"\"Girlpower\""	NA
"2"	"msr002"	4	"aestetik/skoenhed"	NA
"3"	"acgn003"	4	"aktivisme"	NA
"4"	"mho002"	1	"almenmenneskelige dyder og egenskaber"	NA
"5"	"LM018"	1	"Alt"	NA
"6"	"msr009"	5	"altseende/altvidende"	NA
"7"	"naj013"	2	"Amme"	NA
"8"	"acgn001"	4	"Ansvarlighed"	NA
"9"	"lhj007"	4	"arrangere"	NA
"10"	"mho003"	2	"at amme"	NA
"11"	"KK004"	2	"At elske"	NA
"12"	"mho003"	1	"at føde børn"	NA
"13"	"msr011"	3	"at have sex"	NA
"14"	"acgn011"	4	"at kunne blive gravid og føde"	NA
"15"	"lhj007"	5	"at kunne tale om følelser"	NA
"16"	"LM006"	1	"At vaere en god mor"	NA
"17"	"naj007"	4	"Barndom"	NA
"18"	"KK004"	6	"Bedre vidende"	NA
"19"	"mho004"	5	"begrænsende"	NA
"20"	"msc004"	4	"Behandle andre som man selv ønsker at blive behandlet uanset køn"	NA
"21"	"naj007"	5	"Beskyttelse"	NA
"22"	"KK003"	1	"Beskyttende"	NA
"23"	"naj013"	3	"Bevæge mønster"	NA
"24"	"msr002"	2	"bloedhed"	NA
"25"	"lhj003"	4	"bløde/mildhed"	NA
"26"	"acgn002"	2	"blødhed"	NA
"27"	"msr008"	3	"boern"	NA
"28"	"KK012"	1	"Boss ass bitch"	NA
"29"	"LM009"	2	"Brede egenskaber"	NA
"30"	"naj006"	2	"Børn"	NA
"31"	"KK009"	2	"Børn"	NA
"32"	"lhj006"	2	"børn/frugtbarhed"	NA
"33"	"msr010"	4	"civiliserende - at kvinder er med til at civilisere den raa del af manden"	NA
"34"	"msc006"	3	"De kan det samme"	NA
"35"	"LM002"	4	"Dedikeret"	NA
"36"	"KK002"	5	"Dem man ikke kan undvære"	NA
"37"	"naj011"	1	"Det samme som mandlige egenskaber"	NA
"38"	"lhj003"	2	"det seminine"	NA
"39"	"acgn002"	4	"Det sociale køn"	NA
"40"	"msc009"	4	"Detaljeorienteret"	NA
"41"	"lhj008"	3	"disciplin"	NA
"42"	"naj008"	1	"Dopamin"	NA
"43"	"acgn003"	5	"drevet"	NA
"44"	"LM019"	5	"Droemme"	NA
"45"	"KK002"	2	"Dygtige"	NA
"46"	"LM018"	2	"Daarlig loen"	NA
"47"	"KK001"	5	"Eftertænksom"	NA
"48"	"msc001"	1	"Ekstra følsom"	NA
"49"	"LM019"	1	"Elegance"	NA
"50"	"lhj006"	5	"elegance"	NA
"51"	"msr009"	4	"elegance"	NA
"52"	"LM002"	3	"Emotionel intelligens"	NA
"53"	"acgn005"	1	"emotionelle"	NA
"54"	"LM012"	1	"Emotionelt arbejde"	NA
