""	"PARTID"	"order"	"item"	"CODE"
"1"	"LM003"	5	"Aerlighed"	"ærlighed"
"2"	"msr005"	1	"aerlighed"	"ærlighed"
"3"	"acgn009"	5	"afslapning"	"afslapning"
"4"	"KK003"	4	"Afslapning"	"afslapning"
"5"	"KK005"	1	"Afslapning"	"afslapning"
"6"	"KK007"	3	"Slappe af"	"afslapning"
"7"	"KK009"	2	"Afslapning"	"afslapning"
"8"	"KK010"	4	"Slappe af"	"afslapning"
"9"	"lhj003"	1	"afslapning"	"afslapning"
"10"	"LM015"	1	"Afslapning"	"afslapning"
"11"	"LM020"	1	"Afslapning"	"afslapning"
"12"	"msc001"	4	"Afkobling"	"afslapning"
"13"	"msc002"	2	"Afslapning"	"afslapning"
"14"	"msc009"	3	"Afslapning"	"afslapning"
"15"	"naj002"	5	"Afslapning med familien"	"afslapning"
"16"	"acgn010"	2	"aktivitet"	"aktivitet"
"17"	"KK007"	4	"Aktivt fravælge negative tanke"	"positiv tænkning"
"18"	"acgn001"	1	"Tid for mig selv"	"alenetid"
"19"	"acgn006"	3	"ligge alene i min seng"	"alenetid"
"20"	"lhj008"	1	"at være alene"	"alenetid"
"21"	"LM017"	1	"At have en dag med mig selv"	"alenetid"
"22"	"msc005"	2	"Alene"	"alenetid"
"23"	"msc007"	3	"Tid for mig selv"	"alenetid"
"24"	"naj009"	3	"Alenehed"	"alenetid"
"25"	"lhj006"	2	"at være aktiv deltager i livet (tage ansvar)"	"tage ansvar"
"26"	"lhj006"	4	"foerste del: ansvar"	"tage ansvar"
"27"	"LM018"	4	"Arbejde"	"arbejde"
"28"	"KK011"	1	"Arbejde i mit værksted"	"værkstedsarbehde"
"29"	"acgn011"	4	"arbejde med noget, der giver mening"	"meningsfuldt arbejde"
"30"	"mho004"	3	"at bidrage"	"bidrage"
"31"	"lhj009"	4	"God balance mellem social og mig-tid"	"balance"
"32"	"msc010"	2	"Bevægelse"	"bevægelse"
"33"	"msr002"	2	"bevaegelse"	"bevægelse"
"34"	"msr007"	1	"vejrtraekning i en bevidst form"	"vejrtrækning"
"35"	"msc010"	5	"Bevidsthed"	"bevidsthed"
"36"	"acgn001"	6	"bevidsthed om tankemønstre"	"bevidsthed"
"37"	"mho006"	11	"fjerde del: billeder"	"billeder"
"38"	"LM019"	1	"Boen"	"bøn"
"39"	"msc008"	1	"Bøn"	"bøn"
"40"	"msc004"	1	"At bruge hjernen"	"bruge hjernen"
"41"	"msc007"	2	"Bål"	"bål"
"42"	"KK004"	5	"Chokolade"	"chokolade"
"43"	"KK013"	4	"Anden del"	"anden del"
"44"	"naj003"	5	"Cykle"	"fysisk aktivitet"
"45"	"lhj002"	4	"skrive dagbog"	"dagbog"
"46"	"msr002"	3	"dans"	"dans"
"47"	"msr009"	5	"dans"	"dans"
"48"	"naj003"	3	"Danse"	"dans"
"49"	"msr009"	3	"dyner"	"dyne"
"50"	"LM011"	2	"Dyr"	"dyr"
"51"	"msr011"	2	"energivitaminpille"	"vitaminpille"
"52"	"lhj010"	1	"fællesskab"	"fællesskab"
"53"	"LM018"	3	"Faellesskaber"	"fællesskab"
"54"	"mho004"	1	"fællesskab"	"fællesskab"
"55"	"mho005"	5	"fællesskaber"	"fællesskab"
"56"	"msr005"	3	"faellesskab"	"fællesskab"
"57"	"KK002"	4	"Familien"	"familie"
"58"	"KK003"	1	"Familie"	"familie"
"59"	"KK008"	5	"Familie"	"familie"
"60"	"KK013"	1	"Familie"	"familie"
"61"	"lhj001"	1	"familie"	"familie"
"62"	"lhj004"	3	"familie"	"familie"
"63"	"lhj006"	1	"gode familiebånd"	"familie"
"64"	"LM003"	2	"Familien"	"familie"
"65"	"LM004"	4	"Familie omkring mig"	"familie"
"66"	"LM005"	1	"Familie"	"familie"
"67"	"LM008"	3	"Min familie"	"familie"
"68"	"LM016"	3	"Familie"	"familie"
"69"	"LM017"	4	"At besoege familie"	"familie"
"70"	"msc006"	3	"Familie relationer"	"familie"
"71"	"msr001"	5	"familie"	"familie"
"72"	"naj003"	1	"Familie relation"	"familie"
