""	"PARTID"	"order"	"item"	"CODE"
"1"	"acgn001"	1	"Mellemoesten + nordafrika"	NA
"2"	"acgn001"	3	"God mad"	NA
"3"	"acgn001"	4	"Alternativ til kristendom"	NA
"4"	"acgn001"	5	"Boen"	NA
"5"	"acgn001"	6	"Minoriteter, hvor jeg er"	NA
"6"	"acgn001"	2	NA	NA
"7"	"acgn002"	1	"Allah"	NA
"8"	"acgn002"	2	"Muhammed"	NA
"9"	"acgn002"	3	"Moskéer"	NA
"10"	"acgn002"	4	"Toerklde"	NA
"11"	"acgn002"	5	"Mekka"	NA
"12"	"acgn003"	1	"Burka"	NA
"13"	"acgn003"	2	"Tradition"	NA
"14"	"acgn003"	3	"Madkultur"	NA
"15"	"acgn003"	4	"Ramadan"	NA
"16"	"acgn003"	5	"Mellemoesten"	NA
"17"	"acgn004"	1	"Fremmed"	NA
"18"	"acgn004"	2	"Venner"	NA
"19"	"acgn004"	3	"Terror"	NA
"20"	"acgn004"	4	"Frygt"	NA
"21"	"acgn004"	5	"Ramadan"	NA
"22"	"acgn005"	1	"Mohammed"	NA
"23"	"acgn005"	2	"Koranen"	NA
"24"	"acgn005"	3	"Halal"	NA
"25"	"acgn005"	4	"Rammadan"	NA
"26"	"acgn005"	5	"Moskéer"	NA
"27"	"acgn006"	1	"Haram"	NA
"28"	"acgn006"	2	"Halal"	NA
"29"	"acgn006"	3	"Ramadan"	NA
"30"	"acgn006"	4	"Daglige boenner"	NA
"31"	"acgn006"	5	"Bedetaeppe"	NA
"32"	"acgn007"	1	"Koranen"	NA
"33"	"acgn007"	2	"Toerklaeder paalagt kvinder"	NA
"34"	"acgn007"	4	"Mandsdominerende"	NA
"35"	"acgn007"	5	"Terror"	NA
"36"	"acgn007"	6	"Forstokkede gamle vaerdier"	NA
"37"	"acgn007"	3	NA	NA
"38"	"acgn008"	1	"Tro"	NA
"39"	"acgn008"	2	"Ekstrem"	NA
"40"	"acgn008"	3	"Staerk commitment"	NA
"41"	"acgn008"	4	"Snaeversyn"	NA
"42"	"acgn008"	5	"Stor udbredelse globalt"	NA
"43"	"acgn009"	1	"Koranen"	NA
"44"	"acgn009"	2	"Moskeer"	NA
"45"	"acgn009"	3	"Burkaer"	NA
"46"	"acgn009"	4	"Muhammed"	NA
"47"	"acgn009"	5	"Mellemoesten"	NA
"48"	"acgn010"	1	"Allah"	NA
"49"	"acgn010"	2	"Gaza"	NA
"50"	"acgn010"	3	"Mekka"	NA
"51"	"acgn010"	4	"Muhammed"	NA
"52"	"acgn010"	5	"Koranen"	NA
"53"	"acgn011"	1	"Misforstaaelser"	NA
"54"	"acgn011"	2	"Profeten muhammed"	NA
"55"	"acgn011"	3	"Koranen"	NA
"56"	"acgn011"	4	"Halal / haram"	NA
"57"	"acgn011"	6	"Indvandring"	NA
"58"	"acgn011"	5	NA	NA
"59"	"kk001"	1	"Traditioner"	NA
"60"	"kk001"	2	"Faelles retning"	NA
"61"	"kk001"	3	"Staerk tro"	NA
"62"	"kk001"	4	"Ritualer"	NA
"63"	"kk001"	5	"Staerkt sammenhold"	NA
"64"	"kk002"	1	"\"Kan ikke laeses\""	NA
"65"	"kk002"	2	"\"Kan ikke laeses\""	NA
"66"	"kk002"	3	"Bliver ofte set som \"Dem\""	NA
"67"	"kk002"	4	"\"Kan ikke laeses\""	NA
"68"	"kk002"	5	"Mecca"	NA
"69"	"kk003"	1	"Forskellighed"	NA
"70"	"kk003"	2	"Engagement"	NA
"71"	"kk003"	3	"Staerk tro"	NA
"72"	"kk003"	4	"Krig"	NA
"73"	"kk003"	5	"Misfortolkning"	NA
"74"	"kk004"	1	"Tildaekket kvinder"	NA
"75"	"kk004"	2	"Boen"	NA
"76"	"kk004"	3	"Lange kjortler"	NA
"77"	"kk004"	4	"Egoisme og mandshovanist"	NA
"78"	"kk004"	6	"Bedre vidende"	NA
"79"	"kk004"	5	NA	NA
"80"	"kk005"	1	"Min fortolkning af koranen er sandheden"	NA
"81"	"kk005"	2	NA	NA
"82"	"kk005"	3	NA	NA
"83"	"kk005"	4	NA	NA
"84"	"kk005"	5	NA	NA
"85"	"kk006"	1	"Koranen"	NA
"86"	"kk006"	2	"Muhammed"	NA
"87"	"kk006"	3	"Toerklaeder"	NA
"88"	"kk006"	4	"Kvindeundertrykkelse"	NA
"89"	"kk006"	5	"Min tandlaege"	NA
"90"	"kk007"	1	"Mekka"	NA
"91"	"kk007"	2	"Koran"	NA
"92"	"kk007"	3	"Toerklaeder"	NA
"93"	"kk007"	4	"Moske"	NA
"94"	"kk007"	5	"Iran"	NA
"95"	"kk008"	1	"Moske"	NA
"96"	"kk008"	2	"Toerklaede"	NA
"97"	"kk008"	3	"Mellem-oestlig"	NA
"98"	"kk008"	4	"Allah"	NA
"99"	"kk008"	5	"Imam"	NA
"100"	"kk009"	1	"Koranen"	NA
"101"	"kk009"	2	"Toerklaeder"	NA
"102"	"kk009"	3	"Allah"	NA
"103"	"kk009"	5	"Ingen svinekoed"	NA
"104"	"kk010"	1	"Anderledes"	NA
"105"	"kk010"	2	"Fordomme"	NA
"106"	"kk010"	3	"Trofaste"	NA
"107"	"kk010"	4	"Konkret"	NA
"108"	"kk010"	5	"Koranen"	NA
"109"	"kk011"	1	"Mennesker, der tror paa islam"	NA
"110"	"kk011"	2	"Lukket samfund"	NA
"111"	"kk011"	3	"Meget forskellige fra kristne i deres opfattelse af hvordan et samfund skal vaere og isaer kvinder"	NA
"112"	"kk011"	4	NA	NA
"113"	"kk011"	5	NA	NA
"114"	"kk012"	1	"Parfume"	NA
"115"	"kk012"	2	"Toerklaede"	NA
"116"	"kk012"	3	"Familiefester"	NA
"117"	"kk012"	4	"Dadler"	NA
"118"	"kk012"	5	"Tro"	NA
"119"	"kk013"	1	"Allah"	NA
"120"	"kk013"	2	"Turban"	NA
"121"	"kk013"	3	"Mellemoesten"	NA
"122"	"kk013"	4	"Bazar Vest"	NA
"123"	"kk013"	5	"Natlige bedninger (beder om natten)"	NA
"124"	"kk014"	1	"Svinekoed"	NA
"125"	"kk014"	2	"Restriktioner"	NA
"126"	"kk014"	3	"Taepper"	NA
"127"	"kk014"	4	"Toerklaede"	NA
"128"	"kk014"	5	"Familie"	NA
"129"	"kk09"	4	"Mekka"	NA
"130"	"lhj001"	1	"Tradition"	NA
"131"	"lhj001"	2	"Kultur"	NA
"132"	"lhj001"	3	"Faellesskan for de troende"	NA
"133"	"lhj001"	4	"Fiktion"	NA
"134"	"lhj001"	5	NA	NA
"135"	"lhj002"	1	"Faellesskab"	NA
"136"	"lhj002"	2	"Boen x 5"	NA
"137"	"lhj002"	3	"Restriktiv vs. udtryksfuld beklaedning (og hele den debat?"	NA
"138"	"lhj002"	3	NA	NA
"139"	"lhj002"	4	"Stigmatisering / forenkelse / misforstaaelse"	NA
"140"	"lhj002"	7	"Minus grisekoed"	NA
"141"	"lhj002"	5	NA	NA
"142"	"lhj002"	6	NA	NA
"143"	"lhj003"	2	"Moskeer"	NA
"144"	"lhj003"	3	"Indkaldelse til boen"	NA
"145"	"lhj003"	4	"Minus svinekoed"	NA
"146"	"lhj003"	5	"Islam"	NA
"147"	"lhj003"	1	"Rammadan"	NA
"148"	"lhj004"	1	"Boen"	NA
"149"	"lhj004"	2	"Religioesbeklaedning"	NA
"150"	"lhj004"	3	"Kabaen"	NA
"151"	"lhj004"	4	"Familiemennesker"	NA
"152"	"lhj004"	5	"Arabisk"	NA
"153"	"lhj005"	1	"Misforstaaet tro"	NA
"154"	"lhj005"	2	"Kristendommen"	NA
"155"	"lhj005"	3	"Uenigheder"	NA
"156"	"lhj005"	4	"Beskyttelse"	NA
"157"	"lhj005"	5	"Bare mennesker"	NA
"158"	"lhj006"	1	"Regler"	NA
"159"	"lhj006"	2	"Krig"	NA
"160"	"lhj006"	3	"Manglende tolerance overfor andre"	NA
"161"	"lhj006"	4	"Mangler oplysthed"	NA
"162"	"lhj006"	5	"Imamer fylder for meget"	NA
"163"	"lhj007"	1	"Bedetaepper"	NA
"164"	"lhj007"	2	"Moskeer"	NA
"165"	"lhj007"	3	"Mandsdomineret verden"	NA
