""	"PARTID"	"order"	"item"	"CODE"
"1"	"acgn001"	1	"Bøn"	"bøn"
"2"	"acgn001"	2	"Gudstjeneste"	"gudstjeneste"
"3"	"acgn001"	3	"Meditation"	"meditation"
"4"	"acgn001"	4	"Ritualer"	"ritual"
"5"	"acgn001"	5	"Salmer"	"salmer"
"6"	"acgn002"	1	"At Bede"	"bøn"
"7"	"acgn002"	3	"Slå korsets tegn"	"kors"
"8"	"acgn002"	5	"Meditation"	"meditation"
"9"	"acgn002"	4	"Missionering"	"missionering"
"10"	"acgn002"	2	"Nadver"	"nadver"
"11"	"acgn003"	2	"fællesskab"	"fællesskab"
"12"	"acgn003"	1	"kirke"	"kirke"
"13"	"acgn003"	5	"\"træde ind i de voksnes rækker\""	"overgangsritualer"
"14"	"acgn003"	3	"terapi/tryghed"	"terapi"
"15"	"acgn003"	4	"tradition"	"tradition"
"16"	"acgn004"	2	"bøn"	"bøn"
"17"	"acgn004"	4	"forbundethed"	"forbundethed"
"18"	"acgn004"	5	"gud"	"gud"
"19"	"acgn004"	1	"kirke"	"kirke"
"20"	"acgn004"	3	"selvindsigt"	"selvindsigt"
"21"	"acgn005"	5	"flotte bygninger"	"arkitektur"
"22"	"acgn005"	3	"fællesskab"	"fællesskab"
"23"	"acgn005"	1	"krig"	"krig"
"24"	"acgn005"	2	"sammenhold"	"sammenhold"
"25"	"acgn005"	4	"tro"	"tro"
"26"	"acgn006"	2	"Bordbøn"	"bordbøn"
"27"	"acgn006"	1	"At bede"	"bøn"
"28"	"acgn006"	3	"Gudstjenester"	"gudstjeneste"
"29"	"acgn006"	5	"Juleaften"	"jul"
"30"	"acgn006"	4	"Ramadan"	"ramadan"
"31"	"acgn007"	2	"dåb"	"dåb"
"32"	"acgn007"	5	"be fadervor"	"fadervor"
"33"	"acgn007"	1	"Gudstjeneste"	"gudstjeneste"
"34"	"acgn007"	3	"konfirmation"	"konfirmation"
"35"	"acgn007"	4	"meditation"	"meditation"
"36"	"acgn008"	1	"commitment"	"engagement"
"37"	"acgn008"	5	"Historie"	"historie"
"38"	"acgn008"	4	"Krig og fred"	"krig"
"39"	"acgn008"	2	NA	NA
"40"	"acgn008"	3	"Tro"	"tro"
"41"	"acgn009"	4	"Liv efter døden"	"efterliv"
"42"	"acgn009"	3	"Håb"	"håb"
"43"	"acgn009"	1	"Ritualer"	"ritual"
"44"	"acgn009"	5	"Symboler"	"symbol"
"45"	"acgn009"	2	"Tro"	"tro"
"46"	"acgn010"	4	"bøn"	"bøn"
"47"	"acgn010"	3	"cølibat"	"cølibat"
"48"	"acgn010"	1	"kirke"	"kirke"
"49"	"acgn010"	5	"mad"	"mad"
"50"	"acgn010"	2	"terror"	"terror"
"51"	"acgn011"	1	"bøn"	"bøn"
"52"	"acgn011"	2	"gud"	"gud"
"53"	"acgn011"	4	"kirke"	"kirke"
"54"	"acgn011"	3	"nadver"	"nadver"
"55"	"acgn011"	5	"templer"	"templer"
"56"	"KK001"	1	"At bede"	"bøn"
"57"	"KK001"	3	"Beøsge hellige steder"	"helligsteder"
"58"	"KK001"	2	"Krystaller"	"krystaller"
"59"	"KK001"	4	"Meditation"	"meditation"
"60"	"KK001"	5	"?"	NA
"61"	"KK002"	5	"Jesus"	"jesus"
"62"	"KK002"	2	"Jul"	"jul"
"63"	"KK002"	1	"Kirke"	"kirke"
"64"	"KK002"	4	"Moske"	"moske"
"65"	"KK002"	3	"Påske"	"påske"
"66"	"KK003"	4	"Dåb"	"dåb"
"67"	"KK003"	5	"Konfirmation"	"konfirmation"
"68"	"KK003"	2	"Krig"	"krig"
"69"	"KK003"	3	"Misfortolkning"	"misfortolkning"
"70"	"KK003"	1	"Vanvid"	"vanvid"
"71"	"KK004"	3	"Bøn"	"bøn"
"72"	"KK004"	1	"Gud"	"gud"
"73"	"KK004"	2	"Kirke"	"kirke"
"74"	"KK004"	4	"Meditation"	"meditation"
"75"	"KK004"	5	"Ro"	"ro"
"76"	"KK005"	1	"Ingenting"	"ingenting"
"77"	"KK005"	2	NA	NA
