""	"PARTID"	"order"	"item"	"CODE"
"1"	"LM004"	4	"Alle skal kunne tilbydes det"	NA
"2"	"acgn003"	3	"ansvar"	NA
"3"	"naj014"	3	"Ansvar"	NA
"4"	"lhj009"	5	"ansvarlighed"	NA
"5"	"KK007"	1	"Antisoffer"	NA
"6"	"msr001"	5	"anti-wax"	NA
"7"	"lhj003"	1	"arbejde"	NA
"8"	"acgn002"	4	"asien"	NA
"9"	"lhj007"	3	"at blive passet på"	NA
"10"	"LM014"	2	"At faa noget giftigt i kroppen"	NA
"11"	"lhj002"	5	"av min arm"	NA
"12"	"LM011"	2	"Babyer"	NA
"13"	"naj010"	4	"Babyer"	NA
"14"	"msc002"	2	"Bakterier"	NA
"15"	"naj002"	4	"Befolkningssplittende"	NA
"16"	"lhj001"	3	"bekæmpelse af sygdomme"	NA
"17"	"acgn005"	1	"beskyttelse"	NA
"18"	"KK013"	4	"Beskyttelse"	NA
"19"	"lhj004"	3	"beskyttelse"	NA
"20"	"LM008"	1	"Beskyttelse mod sygdom"	NA
"21"	"LM009"	1	"Beskyttelse"	NA
"22"	"LM010"	5	"Beskyttelse"	NA
"23"	"LM016"	1	"Beskyttelse"	NA
"24"	"mho004"	1	"beskyttelse"	NA
"25"	"msc003"	1	"Beskyttelse mod sygdom"	NA
"26"	"msr003"	4	"beskyttelse"	NA
"27"	"naj001"	2	"Beskyttelse"	NA
"28"	"naj007"	4	"Beskyttelse"	NA
"29"	"naj011"	1	"Beskyttelse"	NA
"30"	"naj012"	1	"Beskyttelse"	NA
"31"	"msr002"	5	"bivirkninger"	NA
"32"	"naj013"	3	"Bivirkninger"	NA
"33"	"KK014"	1	"Blod"	NA
"34"	"KK014"	5	"Børn"	NA
"35"	"LM007"	4	"Boern/aeldre"	NA
"36"	"msr011"	2	"boernevacciner"	NA
"37"	"acgn001"	5	"Brikjuice"	NA
"38"	"msr010"	4	"civilisation"	NA
"39"	"acgn002"	3	"corona"	NA
"40"	"acgn004"	4	"corona"	NA
"41"	"acgn006"	1	"corona"	NA
"42"	"acgn008"	4	"corona"	NA
"43"	"acgn009"	1	"corona"	NA
"44"	"acgn010"	1	"covid-19"	NA
"45"	"KK002"	2	"Corona"	NA
"46"	"KK007"	4	"Corona"	NA
"47"	"KK008"	1	"Corona"	NA
"48"	"KK009"	2	"Corona"	NA
"49"	"KK013"	1	"Corona"	NA
"50"	"lhj004"	1	"corona"	NA
"51"	"lhj009"	1	"covid19"	NA
"52"	"LM001"	1	"Corona"	NA
"53"	"LM002"	4	"Covid"	NA
"54"	"LM010"	1	"Corona"	NA
"55"	"LM011"	1	"Corona"	NA
"56"	"LM014"	1	"Corona"	NA
"57"	"LM015"	1	"Covid-19"	NA
"58"	"LM016"	5	"Covid"	NA
"59"	"mho007"	4	"coronapandemi"	NA
"60"	"msc009"	1	"Corona"	NA
"61"	"msr001"	3	"corona"	NA
"62"	"msr002"	1	"coronavirus"	NA
"63"	"msr004"	2	"corona"	NA
"64"	"msr008"	4	"corona"	NA
"65"	"msr011"	1	"corona"	NA
"66"	"naj002"	2	"Coronapandemi"	NA
"67"	"naj006"	4	"Corona"	NA
"68"	"naj010"	3	"Corona"	NA
"69"	"naj012"	4	"Corona"	NA
"70"	"naj014"	4	"Corona"	NA
"71"	"naj015"	1	"Corona"	NA
"72"	"msr001"	1	"debat"	NA
"73"	"acgn010"	4	"Deep state"	NA
"74"	"naj006"	3	"Di-tre-pol"	NA
"75"	"naj016"	2	"Dyrt"	NA
"76"	"naj008"	4	"Dyrt men godt"	NA
"77"	"msr010"	5	"eksperimentering"	NA
"78"	"msr005"	4	"elendighed"	NA
"79"	"msr007"	4	"en vis form for virring og aengstelighed - corona fyldte i lang tid"	NA
"80"	"naj003"	5	"Epidemi"	NA
"81"	"acgn011"	2	"et middel til at redde mange tusinde liv"	NA
"82"	"msc008"	5	"Et lille stik"	NA
"83"	"acgn004"	2	"fællesskab"	NA
"84"	"KK001"	2	"Fælles retning"	NA
"85"	"LM007"	3	"Du kan vaere med i et faellesskab. Virkelig dumt. (Covid). Er du med eller ikke med"	NA
"86"	"mho007"	5	"fællesskab"	NA
"87"	"msr003"	2	"faellesskab"	NA
"88"	"mho001"	4	"familieproblemer"	NA
"89"	"naj007"	5	"Farlig sygdom"	NA
"90"	"msr009"	8	"fascineret"	NA
"91"	"naj006"	2	"Fattigdom"	NA
"92"	"naj010"	2	"Fattigdom"	NA
"93"	"LM015"	4	"Feber"	NA
"94"	"lhj004"	4	"ferie/rejser"	NA
"95"	"lhj003"	3	"flokimmunitet"	NA
"96"	"msc008"	4	"Flokimmunitet"	NA
"97"	"mho003"	4	"fødsel"	NA
"98"	"acgn001"	1	"Folkesundhed"	NA
"99"	"KK010"	3	"Forældre"	NA
"100"	"acgn001"	2	"Forebyggelse"	NA
"101"	"acgn009"	3	"forebyggelse"	NA
"102"	"lhj003"	5	"forebyggende"	NA
"103"	"LM003"	1	"Forbyggelse"	NA
"104"	"LM012"	2	"Forbyggelse"	NA
"105"	"LM018"	2	"Forebyggelse"	NA
"106"	"mho007"	2	"forbyggelse"	NA
"107"	"msc001"	5	"Forbyggende"	NA
