""	"PARTID"	"order"	"item"	"CODE"
"1"	"hkp002"	1	"skaber"	"attributes"
"2"	"hkp002"	2	"stor"	"attributes"
"3"	"hkp004"	2	"kraft"	"attributes"
"4"	"hkp004"	3	"alvidende"	"attributes"
"5"	"hkp005"	1	"magtfuld"	"attributes"
"6"	"hkp005"	2	"fader"	"attributes"
"7"	"hkp005"	4	"over alt"	"attributes"
"8"	"hkp006"	2	"almaegtig"	"attributes"
"9"	"hkp007"	1	"alvidende"	"attributes"
"10"	"hkp007"	4	"magtfuld"	"attributes"
"11"	"hkp008"	2	"almaegtig"	"attributes"
"12"	"hkp008"	4	"udefinerbar"	"attributes"
"13"	"hkp009"	1	"hoejere magt"	"attributes"
"14"	"hkp010"	1	"hoejere bevidsthed"	"attributes"
"15"	"evj002"	2	"almægtig"	"attributes"
"16"	"evj005"	1	"almægtig"	"attributes"
"17"	"evj005"	2	"difus"	"attributes"
"18"	"evj005"	4	"godhed"	"attributes"
"19"	"atoe001"	4	"jahve"	"attributes"
"20"	"rse001"	3	"dømmer"	"attributes"
"21"	"rse001"	4	"frelser"	"attributes"
"22"	"atoe004"	1	"almægtig"	"attributes"
"23"	"atoe004"	2	"barmhjertig"	"attributes"
"24"	"atoe004"	3	"stor"	"attributes"
"25"	"atoe004"	4	"gavmild"	"attributes"
"26"	"atoe004"	5	"kongen"	"attributes"
"27"	"atoe005"	1	"almægtig"	"attributes"
"28"	"atoe005"	5	"skaberen"	"attributes"
"29"	"atoe006"	2	"magt"	"attributes"
"30"	"atoe006"	3	"udødelig"	"attributes"
"31"	"rse004"	1	"alvidende"	"attributes"
"32"	"rse004"	2	"nidkær"	"attributes"
"33"	"rse004"	3	"stor"	"attributes"
"34"	"rse004"	4	"god"	"attributes"
"35"	"atoe007"	2	"skaber"	"attributes"
"36"	"atoe007"	3	"far"	"attributes"
"37"	"atoe007"	4	"kærlig"	"attributes"
"38"	"atoe007"	5	"tilgivende"	"attributes"
"39"	"rese007"	1	"fader"	"attributes"
"40"	"rse008"	5	"beskytter"	"attributes"
"41"	"atoe014"	4	"fader"	"attributes"
"42"	"sh001"	2	"magt"	"attributes"
"43"	"sh001"	3	"almaegtig"	"attributes"
"44"	"sh001"	4	"autoritet"	"attributes"
"45"	"sh001"	5	"konsekvent"	"attributes"
"46"	"sh002"	1	"almaegtig"	"attributes"
"47"	"sh003"	1	"almaegtig"	"attributes"
"48"	"sh003"	2	"af flere skikkelser"	"attributes"
"49"	"sh003"	3	"stor"	"attributes"
"50"	"sh003"	4	"beskyttende"	"attributes"
"51"	"sh003"	5	"vejviser"	"attributes"
"52"	"sh004"	1	"almaegtig"	"attributes"
"53"	"sh004"	2	"fader"	"attributes"
"54"	"sh004"	4	"alvidende"	"attributes"
"55"	"sh005"	1	"almaegtig"	"attributes"
"56"	"sh005"	2	"altvidende"	"attributes"
"57"	"sh006"	2	"alvidende"	"attributes"
"58"	"sh006"	4	"dommer"	"attributes"
"59"	"sh006"	5	"usynlig"	"attributes"
"60"	"sh007"	2	"autoritet"	"attributes"
"61"	"sh007"	3	"omnipotens"	"attributes"
"62"	"sh007"	4	"altforbarmende"	"attributes"
"63"	"sh007"	5	"stor"	"attributes"
"64"	"sh008"	2	"fornuft"	"attributes"
"65"	"sh009"	1	"skaberen"	"attributes"
"66"	"sh009"	2	"barmhjertig"	"attributes"
"67"	"sh010"	2	"almaegtig"	"attributes"
"68"	"sh011"	2	"helligt"	"attributes"
"69"	"sh012"	1	"almaegtig"	"attributes"
"70"	"sh012"	2	"varm"	"attributes"
"71"	"sh012"	3	"rummelig"	"attributes"
"72"	"sh014"	1	"skaber"	"attributes"
"73"	"sh015"	5	"skaber"	"attributes"
"74"	"mgs001"	1	"god"	"attributes"
"75"	"mgs001"	2	"barmhjertig"	"attributes"
"76"	"mgs001"	3	"kaerlig"	"attributes"
"77"	"mgs001"	4	"tilgivende"	"attributes"
"78"	"mgs001"	5	"frelsende"	"attributes"
"79"	"mgs003"	1	"almaegtig"	"attributes"
"80"	"mgs003"	2	"uhaandgribeligt"	"attributes"
"81"	"mgs003"	3	"i alting"	"attributes"
"82"	"mgs005"	4	"hjaelpende"	"attributes"
"83"	"mgs005"	5	"stor"	"attributes"
"84"	"mgs006"	1	"omfavnende"	"attributes"
"85"	"mgs006"	2	"tro"	"attributes"
"86"	"mgs006"	3	"usynlig"	"attributes"
"87"	"mgs007"	1	"almaegtig"	"attributes"
"88"	"mgs007"	2	"skaberen"	"attributes"
"89"	"mgs007"	3	"hellig"	"attributes"
"90"	"mgs008"	5	"uforklarligt"	"attributes"
"91"	"mgs015"	1	"stor"	"attributes"
"92"	"mgs015"	2	"fjern"	"attributes"
"93"	"mgs018"	1	"almaegtig"	"attributes"
"94"	"mgs020"	2	"saerlige kraefter"	"attributes"
"95"	"mgs020"	3	"staerk"	"attributes"
"96"	"hkp002"	3	"tro"	"belief"
"97"	"hkp008"	5	"tro"	"belief"
"98"	"atoe005"	2	"tro"	"belief"
"99"	"rse009"	4	"tro"	"belief"
"100"	"atoe014"	5	"tro"	"belief"
"101"	"sh010"	3	"tro"	"belief"
"102"	"sh013"	1	"tro"	"belief"
"103"	"mgs002"	3	"tro"	"belief"
"104"	"mgs007"	5	"tro"	"belief"
"105"	"mgs008"	2	"tro"	"belief"
"106"	"mgs015"	5	"tro"	"belief"
"107"	"mgs017"	2	"tro"	"belief"
"108"	"evj004"	4	"sammenhold"	"community"
"109"	"atoe001"	5	"sammenhold"	"community"
"110"	"hkp001"	1	"kaerlighed"	"feelings"
"111"	"hkp001"	2	"omsorg"	"feelings"
"112"	"hkp005"	3	"tryghed"	"feelings"
"113"	"hkp008"	1	"naestekaerlighed"	"feelings"
"114"	"evj004"	1	"tryghed"	"feelings"
"115"	"evj004"	2	"godhed"	"feelings"
"116"	"evj004"	3	"gensyn"	"feelings"
"117"	"evj004"	5	"familiært"	"feelings"
"118"	"atoe006"	5	"lykke"	"feelings"
"119"	"rse008"	4	"sindsro"	"feelings"
"120"	"rse009"	1	"trøst"	"feelings"
"121"	"mgs002"	1	"tryghed"	"feelings"
"122"	"mgs002"	2	"ro"	"feelings"
"123"	"mgs004"	1	"kaerlighed"	"feelings"
"124"	"mgs004"	2	"lys"	"feelings"
"125"	"mgs008"	1	"copingstrategi"	"feelings"
"126"	"mgs008"	3	"tryghedsskabende"	"feelings"
"127"	"mgs008"	4	"troest"	"feelings"
"128"	"mgs009"	5	"godhed"	"feelings"
"129"	"mgs015"	3	"vigtig for nogen"	"feelings"
"130"	"mgs017"	1	"kaerlighed"	"feelings"
"131"	"mgs020"	4	"meningsgivende"	"feelings"
"132"	"atoe007"	1	"jehova"	"institution"
"133"	"rse006"	4	"allah"	"institution"
"134"	"mgs014"	1	"allah"	"institution"
"135"	"mgs022"	1	"allah"	"institution"
"136"	"mgs022"	2	"jehova"	"institution"
"137"	"hkp008"	3	"kristendom"	"institution"
"138"	"hkp010"	3	"kristendom"	"institution"
"139"	"evj001"	1	"religion"	"institution"
"140"	"evj001"	5	"paven"	"institution"
"141"	"evj005"	3	"kristen"	"institution"
"142"	"rse003"	1	"kristendom"	"institution"
"143"	"atoe012"	1	"religion"	"institution"
"144"	"sh002"	2	"kristen"	"institution"
"145"	"sh007"	1	"kristendom"	"institution"
"146"	"sh009"	4	"profeter"	"institution"
