""	"PARTID"	"order"	"item"	"CODE_evj"	"CODE"
"1"	"atoe005"	2	"kan godt være"	"misc"	"belief"
"2"	"hkp001"	2	"tro"	"belief"	"belief"
"3"	"hkp002"	3	"tro"	"belief"	"belief"
"4"	"hkp007"	2	"tro"	"belief"	"belief"
"5"	"hkp009"	2	"tro"	"belief"	"belief"
"6"	"hkp010"	1	"tro"	"belief"	"belief"
"7"	"evj004"	2	"tro"	"belief"	"belief"
"8"	"rse0001"	1	"tro"	"belief"	"belief"
"9"	"rse003"	2	"tro"	"belief"	"belief"
"10"	"rse004"	2	"tro"	"belief"	"belief"
"11"	"atoe007"	3	"tro"	"belief"	"belief"
"12"	"rse009"	5	"tro"	"belief"	"belief"
"13"	"atoe010"	1	"tro"	"belief"	"belief"
"14"	"sh001"	5	"tro"	"belief"	"belief"
"15"	"sh006"	1	"tro"	"belief"	"belief"
"16"	"sh009"	2	"tro"	"belief"	"belief"
"17"	"sh012"	1	"tro"	"belief"	"belief"
"18"	"sh013"	5	"tro"	"belief"	"belief"
"19"	"mgs002"	4	"tro"	"belief"	"belief"
"20"	"mgs017"	3	"tro"	"belief"	"belief"
"21"	"mgs018"	1	"tro"	"belief"	"belief"
"22"	"mgs019"	2	"tro"	"belief"	"belief"
"23"	"mgs020"	1	"tro"	"belief"	"belief"
"24"	"mgs021"	3	"tro"	"belief"	"belief"
"25"	"mgs022"	2	"tro"	"belief"	"belief"
"26"	"mgs007"	3	"tro"	"belief"	"belief"
"27"	"mgs009"	5	"tro"	"belief"	"belief"
"28"	"mgs013"	1	"tro"	"belief"	"belief"
"29"	"mgs015"	2	"tro"	"belief"	"belief"
"30"	"sh002"	3	"beklaedning"	"objects"	"characteristics"
"31"	"hkp006"	3	"gamle mennesker"	"characteristics"	"characteristics"
"32"	"sh013"	2	"katolik"	"characteristics"	"characteristics"
"33"	"atoe006"	2	"kristen"	"characteristics"	"characteristics"
"34"	"sh013"	1	"kristen"	"characteristics"	"characteristics"
"35"	"evj001"	5	"missionærer"	"characteristics"	"characteristics"
"36"	"sh002"	1	"mmenske"	"characteristics"	"characteristics"
"37"	"sh013"	3	"muslim"	"characteristics"	"characteristics"
"38"	"mgs010"	2	"praest"	"characteristics"	"institution"
"39"	"mgs019"	4	"praest"	"characteristics"	"institution"
"40"	"evj002"	3	"præst"	"characteristics"	"institution"
"41"	"evj003"	4	"præst"	"characteristics"	"institution"
