""	"PARTID"	"order"	"item"	"CODE.E"	"CODE"	"CODE.H"	"CODE.S"
"1"	"atoe003"	2	"alter"	"objects"	"objects"	"objects"	"feelings"
"2"	"atoe001"	5	"altergang"	"ritual"	"ritual"	"ritual"	"feelings"
"3"	"hkp002"	2	"at bede"	"prayer"	"prayer"	"prayer"	"characteristics"
"4"	"sh009"	1	"be"	"prayer"	"prayer"	"prayer"	"characteristics"
"5"	"hkp010"	4	"bede"	"prayer"	"prayer"	"prayer"	"places"
"6"	"sh006"	2	"bede"	"prayer"	"prayer"	"prayer"	"concepts"
"7"	"mgs022"	4	"bede"	"prayer"	"prayer"	"prayer"	"concepts"
"8"	"sh002"	3	"beklaedning"	"objects"	"characteristics"	"characteristics"	"concepts"
"9"	"atoe007"	1	"bibelen"	"objects"	"objects"	"objects"	"concepts"
"10"	"mgs009"	3	"biblen"	"objects"	"objects"	"objects"	"concepts"
"11"	"hkp007"	3	"boen"	"prayer"	"prayer"	"prayer"	"feelings"
"12"	"mgs005"	3	"boen"	"prayer"	"prayer"	"prayer"	"characteristics"
"13"	"mgs006"	5	"boen"	"prayer"	"prayer"	"prayer"	"negative"
"14"	"mgs007"	4	"boen"	"prayer"	"prayer"	"prayer"	"concepts"
"15"	"mgs010"	3	"boen"	"prayer"	"prayer"	"prayer"	"objects"
"16"	"hkp003"	3	"bryllup"	"ritual"	"ritual"	"ritual"	"objects"
"17"	"mgs013"	4	"bundet"	"misc"	"negative"	"negative"	"belief"
"18"	"sh002"	2	"bøger"	"objects"	"objects"	"objects"	"belief"
"19"	"evj003"	5	"bøn"	"prayer"	"prayer"	"prayer"	"belief"
"20"	"evj005"	3	"bøn"	"prayer"	"prayer"	"prayer"	"belief"
"21"	"rse0001"	5	"bøn"	"prayer"	"prayer"	"prayer"	"prayer"
"22"	"atoe004"	2	"bøn"	"prayer"	"prayer"	"prayer"	"ritual"
"23"	"atoe007"	2	"bøn"	"prayer"	"prayer"	"prayer"	"concepts"
"24"	"rse009"	1	"bøn"	"prayer"	"prayer"	"prayer"	"concepts"
"25"	"ateo014"	3	"bøn"	"prayer"	"prayer"	"prayer"	"belief"
"26"	"atoe003"	5	"bøvl"	"negative"	"negative"	"negative"	"concepts"
"27"	"mgs008"	1	"coping"	"feelings"	"meaning"	"meaning"	"objects"
"28"	"sh011"	1	"Dedikation"	"characteristics"	"feelings"	"feelings"	"negative"
"29"	"mgs021"	4	"doed"	"concepts"	"concepts"	"ritual"	"feelings"
"30"	"hkp003"	4	"daab"	"ritual"	"ritual"	"ritual"	"concepts"
"31"	"mgs006"	2	"emotionelt"	"feelings"	"feelings"	"feelings"	"concepts"
"32"	"mgs007"	2	"en form for gud"	"god"	"god"	"god"	"concepts"
"33"	"atoe009"	5	"en jeg ikke gider have et venskab med"	"negative"	"negative"	"negative"	"concepts"
"34"	"atoe010"	4	"etik"	"rules"	"rules"	"rules"	"concepts"
"35"	"mgs008"	4	"etisk rettesnor"	"rules"	"rules"	"rules"	"concepts"
"36"	"mgs001"	5	"faelles"	"community"	"community"	"community"	"concepts"
"37"	"hkp001"	1	"faellesskab"	"community"	"community"	"community"	"characteristics"
"38"	"hkp002"	4	"faellesskab"	"community"	"community"	"community"	"characteristics"
"39"	"hkp009"	3	"faellesskab"	"community"	"community"	"community"	"negative"
"40"	"sh001"	4	"faellesskab"	"community"	"community"	"community"	"feelings"
"41"	"sh007"	4	"faellesskab"	"community"	"community"	"community"	"feelings"
"42"	"sh012"	4	"faellesskab"	"community"	"community"	"community"	"feelings"
"43"	"mgs002"	2	"faellesskab"	"community"	"community"	"community"	"ritual"
"44"	"mgs003"	5	"faellesskab"	"community"	"community"	"community"	"institutions"
