""	"PARTID"	"order"	"item"	"CODE.E"	"CODE"	"CODE.H"	"CODE.S"
"1"	"hkp009"	2	"tro"	"belif"	"belief"	"feelings"	"belief"
"2"	"hkp010"	1	"tro"	"belif"	"belief"	"beliefs"	"belief"
"3"	"sh003"	3	"tro"	"belif"	"belief"	"beliefs"	"belief"
"4"	"sh004"	3	"tro"	"belif"	"belief"	"beliefs"	"belief"
"5"	"mgs018"	2	"tro"	"belif"	"belief"	"beliefs"	"belief"
"6"	"atoe003"	4	"bare tæer"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"7"	"atoe009"	1	"farven lilla"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"8"	"mgs001"	1	"flip"	"characteristics"	"characteristics"	"negative"	"characteristics"
"9"	"mgs010"	4	"forretning"	"misc"	"characteristics"	"institution"	"institutions"
"10"	"sh007"	2	"freestyling"	"misc"	"characteristics"	"beliefs"	"characteristics"
"11"	"atoe009"	2	"hekse"	"characteristics"	"characteristics"	"characteristics"	"concepts"
"12"	"mgs013"	2	"helse"	"misc"	"characteristics"	"beliefs"	"concepts"
"13"	"atoe001"	5	"hippie"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"14"	"mgs009"	2	"hippie"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"15"	"atoe005"	2	"hippier"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"16"	"sh014"	1	"hippier"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"17"	"sh015"	1	"hippier"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"18"	"mgs005"	3	"kvinde"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"19"	"rse001"	3	"kvinder"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"20"	"mgs012"	5	"kvinder"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"21"	"mgs022"	1	"kvinder"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"22"	"atoe003"	5	"langt hår"	"characteristics"	"characteristics"	"rules"	"characteristics"
"23"	"mgs009"	3	"langt haard"	"characteristics"	"characteristics"	"rules"	"characteristics"
"24"	"hkp006"	1	"mere oestligt"	"places"	"characteristics"	"negative"	"characteristics"
"25"	"mgs010"	2	"middelaldrende kvinder"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"26"	"sh007"	4	"mode"	"characteristics"	"characteristics"	"beliefs"	"characteristics"
"27"	"hkp004"	2	"moderne"	"characteristics"	"characteristics"	"beliefs"	"characteristics"
"28"	"sh006"	4	"moderne"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"29"	"hkp008"	5	"moderne tro"	"characteristics"	"characteristics"	"beliefs"	"belief"
"30"	"hkp006"	3	"munke"	"characteristics"	"characteristics"	"beliefs"	"characteristics"
"31"	"rse009"	3	"mystisk"	"characteristics"	"characteristics"	"negative"	"characteristics"
"32"	"mgs020"	2	"mystisk"	"characteristics"	"characteristics"	"objects"	"characteristics"
"33"	"mgs002"	5	"naturligt"	"characteristics"	"characteristics"	"places"	"characteristics"
"34"	"evj001"	1	"new age folk"	"characteristics"	"characteristics"	"objects"	"characteristics"
"35"	"evj004"	2	"overnaturligt"	"negative"	"characteristics"	"places"	"characteristics"
"36"	"atoe007"	2	"overnaturligt"	"negative"	"characteristics"	"beliefs"	"characteristics"
"37"	"atoe005"	5	"spåkone"	"characteristics"	"characteristics"	"ritual"	"characteristics"
"38"	"atoe006"	2	"spåkone"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"39"	"mgs019"	3	"tatoveringer"	"characteristics"	"characteristics"	"objects"	"characteristics"
"40"	"evj001"	5	"vegetarer"	"characteristics"	"characteristics"	"characteristics"	"characteristics"
"41"	"sh006"	3	"vesten"	"places"	"characteristics"	"institution"	"characteristics"
"42"	"mgs016"	5	"rummelighed"	"feelings"	"community"	"objects"	"characteristics"
