"STUDENT"	"PARTID"	"DATO"	"RELATION"	"LOCATION"	"TYPEINT"	"KON"	"SEKSU"	"ALDER"	"JOB"	"ETNIC"	"NATIO"	"FAMILE"	"UDDANN"	"UDTYP"	"BY"	"VACC"	"BEKYMJOB"	"BEKYMLIV"	"BEKYMFYS"	"BEKYMMENT"	"OKOLIGKON"	"TILOKKON"	"INDKOM"	"OKOBID"	"SOCKLAS"	"POLITIK"	"PARTI"	"NYHEDER"	"PLADSFREM"	"HELB"	"LSTAND"	"BESVAER"	"RASTLOS"	"ENSOM"	"ALSYG"	"POSITIV"	"TILKROP"	"SUNDKROP"	"DEPRI"	"KHUS"	"KBORN"	"MFAM"	"FMBORN"	"MSORD"	"MSVAGE"	"KOMS"	"MFYS"	"AFSTRAF"	"TVELFAERD"	"TPOL"	"TOFFSUND"	"TUDDAN"	"TREG"	"TSKAT"	"TIREG"	"TIREGIO"	"TIKOMM"	"TIREL"	"TIVIDEN"	"RELID"	"OPREL"	"MEDLEM"	"HVILKEM"	"FORAELDM"	"EMOTI"	"RADGIV"	"BSAMREL"	"STOPTRO"	"SKRIFT"	"BON"	"RELAKT"	"AUTO"	"RELGANG"	"VELKOM"	"REL69"	"REL70"	"REL71"	"REL72"	"REL73"	"REL74"	"REL75"	"REL76"	"REL77"	"REL78"	"REL79"	"REL80"	"REL81"	"REL82"	"REL83"	"REL84"	"REL85"	"REL86"	"REL87"	"REL88"	"REL89"	"REL90"	"REL91"	"REL92"	"REL93"	"REL94"	"REL95"	"REL96"	"REL97"	"REL98"	"REL99"	"REL100"	"REL101"	"REL102"	"REL103"	"REL104"	"REL105"	"REL106"	"REL107"	"REL108"	"REL109"	"REL110"	"REL111"	"REL112"	"REL113"	"REL114"	"REL115"	"REL116"	"REL117"	"REL118"	"REL119"	"REL120"	"REL121"	"REL122"	"REL123"	"REL124"	"REL125"	"REL126"	"REL127"	"REL128"	"REL129"	"REL130"	"REL131"	"REL132"	"REL133"	"RELID.r"	"KON.r"	"SEKSU.r"
"1"	"Andreas"	"acgn001"	"45227"	"Friend"	"Home"	"Group"	1	1	28	"Cook"	"Caucasian"	"Danish"	6	"17"	"1"	"28"	1	-2	-2	-1	-1	2	0	3	1	"2"	-1	"Alternativet"	"1"	1	-1	-1	2	2	-2	-2	1	1	1	0	-2	-2	-2	-2	-2	-2	-2	-1	-2	0	1	-1	-2	0	1	0	0	0	-1	1	"0"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"888"	"14"	1	0	"0"	"1"	0	2	2	0	-2	-2	1	-1	-2	1	-2	2	0	0	-2	-2	0	-2	-2	-2	-2	0	-2	-2	-2	-2	-1	-2	-2	-2	0	-2	1	-2	-2	0	-2	-2	0	-2	-2	0	0	-2	-2	-2	-2	-2	0	-2	1	-2	-2	2	-2	-1	0	-2	-2	0	-2	-2	-2	-2	-1	-2	2	0	1	0
"2"	"Andreas"	"acgn002"	"45227"	"Colleague"	"Home"	"Group"	0	1	26	"Student"	"Caucasian"	"Danish"	1	"18"	"1"	"7"	1	1	1	-1	-1	2	-2	0	1	"2"	-2	"Socialistisk Folkeparti"	"6"	-1	1	-1	-2	-2	-2	-2	2	2	2	-2	-2	-2	-2	-2	-2	-2	-2	-1	-2	0	0	-1	-1	0	1	1	1	1	1	2	"1"	0	"1"	"Folkekirken"	"1"	"0"	"0"	"0"	"14"	0	0	"4"	"4"	4	5	2	-2	-2	-2	-2	-2	-2	-2	-2	0	-1	-2	-2	-1	0	1	-2	-1	-2	0	-2	-1	-1	-2	-2	-2	-2	-2	-1	-2	1	-2	-2	-2	-1	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-1	-2	0	-2	-2	0	2	-2	-2	0	-2	-2	0	0	-2	-2	-2	-2	-2	1	1	0	0
"3"	"Andreas"	"acgn003"	"45227"	"Colleague"	"Home"	"Group"	1	1	28	"Student"	"Caucasian"	"Danish"	1	"19"	"2"	"8"	1	1	2	1	1	2	-1	1	1	"1"	-2	"Alternativet"	"3"	0	2	2	2	2	-1	2	1	0	0	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1	0	-2	-1	-2	-2	-2	-1	0	0	2	"1"	0	"1"	"Folkekirken"	"1"	"0"	"0"	"999"	"12"	0	0	"0"	"1"	1	5	2	-2	-2	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	-2	2	0	-2	-2	-2	0	-2	0	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	0	-2	0	2	0	-1	2	0	-2	1	-2	-2	0	-2	-2	-2	-2	-2	-2	2	1	1	0
"4"	"Andreas"	"acgn004"	"45216"	"Friends friend"	"University"	"Group"	0	3	23	"Student"	"Caucasian"	"Danish"	1	"17"	"1"	"3"	1	-2	-2	-2	-2	2	-1	1	4	"3"	-2	"Enhedslisten"	"2"	-2	-2	-2	-2	-2	1	-2	2	1	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-1	0	-2	-1	-2	-1	-1	1	1	-2	2	"3"	1	"1"	"Folkekirken"	"1"	"1"	"0"	"0"	"999"	1	4	"3"	"3"	3	4	2	-2	2	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	2	2	2	1	-2	2	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	-2	-2	2	0	1	-2	1	1	-2	-2	-2	2	0	-2	-2	2	-2	-2	2	-2	2	2	-2	-2	0	-2	-2	-2	-2	-2	-2	2	3	0	1
"5"	"Andreas"	"acgn005"	"45216"	"Friends friend"	"University"	"Group"	1	1	22	"Student"	"Caucasian"	"German"	6	"16"	"1"	"22"	1	-1	-2	-1	1	2	1	2	3	"3"	-2	NA	"1"	-2	-1	-2	0	1	-1	-2	1	-1	1	1	-2	0	-2	-1	-2	-1	0	1	-2	1	1	0	0	0	1	1	-2	1	-1	2	"1"	1	"1"	"Katolsk"	"1"	"0"	"0"	"999"	"9"	0	0	"2"	"2"	2	3	2	-2	0	-2	-2	-2	-2	-2	-2	1	-2	0	-2	-2	0	1	0	-2	-2	0	-2	-2	-2	-2	-1	-2	-2	-2	-1	-2	-1	-2	-2	-1	-1	-2	-2	-1	-2	-2	-1	-2	-1	-2	-2	0	-2	-1	0	-2	0	1	-2	-2	2	-2	-2	0	-2	-2	-2	-2	-2	-1	1	1	1	0
"6"	"Andreas"	"acgn006"	"45229"	"Acquaintance"	"Their house"	"Group"	0	1	19	"Student"	"Caucasian"	"Danish"	1	"14"	"1"	"19"	1	-2	-2	-1	-1	2	-1	NA	2	"3"	NA	"Liberal Alliance"	"4"	0	0	0	1	0	2	0	1	0	0	-2	0	0	-2	0	-2	-2	-2	1	-2	1	2	1	1	0	0	0	1	1	1	0	"3"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"1"	NA	4	3	"1"	"3"	1	5	0	2	-2	1	-1	-2	1	1	0	1	-2	0	1	2	-1	2	2	0	0	2	-2	0	0	-2	0	1	-2	0	-2	-2	-1	-2	1	1	0	0	0	2	2	1	1	0	0	0	1	1	-2	-1	-2	0	0	-1	0	1	-1	-1	2	2	-2	-2	-2	-2	0	2	2	3	0	0
"7"	"Andreas"	"acgn007"	"45229"	"Acquiantance"	"Their house"	"Group"	0	1	55	"Product manager"	"Caucasian"	"Danish"	2	"15"	"2"	"55"	1	1	1	0	-1	-1	-1	10	2	"4"	1	"Liberal Alliance"	"1"	-2	-1	-2	1	-2	-2	-2	2	-2	2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	1	-1	-2	-1	-2	-2	-2	2	"3"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"1"	"999"	0	5	"2"	"2"	2	3	-2	-2	-2	2	-2	-2	1	1	-2	-1	2	0	1	1	-1	1	2	0	-1	1	-2	2	0	-2	1	1	-2	-1	1	-2	-1	-2	1	2	1	0	2	2	0	2	2	0	-1	0	1	1	-2	1	2	-2	0	0	0	NA	NA	1	1	2	-2	-2	-2	-2	-2	0	1	3	0	0
"8"	"Andreas"	"acgn008"	"45229"	"Acquiantance"	"Their house"	"Group"	1	1	58	"Selvstændig"	"Caucasian"	"Danish"	2	"15"	"2"	"58"	1	-1	-1	0	-1	1	-1	10	2	"3"	1	"Konservative"	"1"	-2	-1	-1	-2	-2	-2	-2	1	0	2	-2	-2	-2	-2	2	-2	-2	1	1	-2	1	1	1	1	-1	0	-1	0	0	1	2	"3"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"1"	"999"	0	3	"0"	"3"	2	5	-2	-2	1	1	-2	-2	0	-1	0	-2	0	0	0	1	-1	2	1	0	-2	2	-2	0	-2	-1	2	1	-2	0	-2	-2	-2	-2	0	-2	2	-2	1	2	1	2	0	-2	1	-2	2	0	-2	2	0	-2	0	0	2	0	-1	2	-2	2	-2	-2	-2	0	-1	0	2	3	1	0
"9"	"Andreas"	"acgn009"	"45229"	"Relative"	"Their house"	"Group"	0	1	25	"Student"	"Caucasian"	"Danish"	6	"18"	"1"	"25"	1	-2	-2	-1	-1	2	-1	1	1	"3"	-1	"Radikale venstre"	"4"	0	1	0	1	1	-2	-1	2	0	1	-1	-2	-1	-2	-2	-2	-2	-2	-2	-2	0	1	0	0	-2	-2	-1	0	1	0	2	"2"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"888"	"999"	0	3	"0"	"0"	1	5	-2	-1	-2	0	-1	-2	0	1	-2	-1	0	-2	0	1	-1	1	2	-2	-2	1	-2	0	0	-2	0	0	-2	-2	-1	-2	-1	-2	1	1	0	-2	2	1	1	1	0	-2	-2	0	2	1	-1	0	1	-2	-2	1	0	NA	2	0	NA	1	-2	-2	-2	-2	-2	-2	2	2	0	0
"10"	"Andreas"	"acgn010"	"45216"	"Friends friend"	"University"	"Group"	1	1	22	"Student"	"Caucasian"	"Danish"	6	"15"	"1"	"2"	1	1	-2	-1	0	2	1	0	1	"1"	-2	"Enhedslisten"	"4"	0	1	-1	2	1	0	-2	0	1	0	0	0	0	0	-2	-2	-2	-2	-2	-2	2	1	1	1	0	1	0	0	0	0	2	"1"	0	"0"	NA	NA	NA	NA	"999"	"0"	1	0	"1"	"1"	1	5	2	-2	-2	-2	-2	-2	-2	-2	-1	-2	-2	-2	-2	-2	2	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2	1	-2	-2	2	-2	-2	2	-2	-2	2	-2	-2	-2	-2	-2	-2	2	1	1	0
"11"	"Andreas"	"acgn011"	"45216"	"Relative"	"University"	"Group"	1	1	25	"Student"	"Caucasian"	"Danish"	1	"16"	"1"	"5"	1	-2	-2	-2	-1	2	0	1	2	"3"	-1	"Alternativet"	"4"	-2	-2	-2	-1	-1	0	-2	1	2	1	-2	-2	-2	-2	-2	-2	-2	-1	-1	-2	0	1	-1	0	-2	-1	0	1	1	1	2	"2"	1	"1"	"Folkekirken"	"1"	"0"	"0"	"999"	"999"	1	1	"0"	"1"	1	4	0	-2	-2	0	-2	-2	-1	0	-2	1	-2	-1	-2	-2	0	0	0	-2	-2	1	-2	1	-2	-2	-2	1	-2	-2	-2	-2	-1	-1	0	NA	-2	-2	0	1	1	1	0	-2	-1	2	1	0	-2	-2	1	-2	-2	2	-2	1	2	0	-2	2	-2	-2	-2	-1	-2	2	2	2	1	0
"12"	"Anton"	"atoe1"	"sept22.24"	"friend"	"Online"	"facebook"	1	1	30	"Studerende"	"Dansk"	"Dansk"	6	"17"	"1"	"7"	1	-2	-1	-1	-1	1	1	2	2	"2"	1	"radikale venstre"	"1"	-1	-1	-1	-1	-1	-2	-1	2	1	0	-2	-1	-1	-1	-1	-2	-1	-1	0	-2	1	0	1	1	-1	1	0	0	1	0	2	"1"	0	"1"	"folkekirken"	"1"	"0"	"0"	"999"	"0"	4	0	"1"	"2"	2	4	0	-1	-2	-2	-2	-2	0	-2	-2	0	-2	-2	-1	-2	-1	1	-1	-2	-2	0	-1	-1	-2	-2	-1	-1	-2	-2	-1	-2	0	-1	-1	-2	-2	-2	-2	-1	-1	-1	1	-2	-2	-1	0	-1	-2	-1	-2	-2	-1	1	-2	-2	2	-1	-2	1	-1	-1	-1	-2	-2	-2	1	1	1	0
